record_id,country_code,country_name,region,income_group,year,education_level,population_school_age_millions,literacy_rate_youth,literacy_rate_adult,primary_enrollment_rate,secondary_enrollment_rate,tertiary_enrollment_rate,gender_parity_index_primary,gender_parity_index_secondary,govt_expenditure_education_pct_gdp,pupil_teacher_ratio_primary,primary_completion_rate,sdg4_index_score
10001,AFG,Afghanistan,South Asia,Lower middle income,1990,Primary,5.37,72.57,67.77,73.5,59.08,19.71,0.843,0.823,2.71,29.8,67.01,51.74
10002,AFG,Afghanistan,South Asia,Lower middle income,1990,Secondary,5.37,72.57,67.77,73.5,59.08,19.71,0.843,0.823,,29.8,67.01,51.74
10003,AFG,Afghanistan,South Asia,Lower middle income,1990,Tertiary,5.37,72.57,67.77,73.5,59.08,19.71,0.843,0.823,2.71,29.8,67.01,51.74
10004,AFG,Afghanistan,South Asia,Lower middle income,1991,Primary,0.68,75.22,71.78,76.01,56.88,25.34,0.843,0.819,2.03,31.0,68.59,52.99
10005,AFG,Afghanistan,South Asia,Lower middle income,1991,Secondary,0.68,75.22,71.78,76.01,56.88,25.34,0.843,0.819,2.03,31.0,68.59,52.99
10006,AFG,Afghanistan,South Asia,Lower middle income,1991,Tertiary,0.68,75.22,71.78,76.01,56.88,25.34,0.843,0.819,2.03,31.0,68.59,52.99
10007,AFG,Afghanistan,South Asia,Lower middle income,1992,Primary,2.03,77.22,71.19,75.45,57.18,24.38,0.851,0.847,2.49,,69.0,52.96
10008,AFG,Afghanistan,South Asia,Lower middle income,1992,Secondary,2.03,77.22,71.19,75.45,57.18,24.38,0.851,0.847,2.49,33.0,69.0,52.96
10009,AFG,Afghanistan,South Asia,Lower middle income,1992,Tertiary,2.03,77.22,71.19,75.45,57.18,24.38,0.851,0.847,2.49,33.0,69.0,52.96
10010,AFG,Afghanistan,South Asia,Lower middle income,1993,Primary,0.45,75.37,68.69,74.93,53.18,28.96,0.869,0.841,2.42,31.6,64.15,48.42
10011,AFG,Afghanistan,South Asia,Lower middle income,1993,Secondary,0.45,75.37,68.69,74.93,53.18,28.96,0.869,0.841,2.42,31.6,64.15,48.42
10012,AFG,Afghanistan,South Asia,Lower middle income,1993,Tertiary,0.45,75.37,68.69,74.93,53.18,28.96,0.869,0.841,2.42,31.6,64.15,48.42
10013,AFG,Afghanistan,South Asia,Lower middle income,1994,Primary,0.79,76.65,72.02,77.72,53.0,21.76,0.848,0.827,2.31,33.8,70.11,51.99
10014,AFG,Afghanistan,South Asia,Lower middle income,1994,Secondary,0.79,76.65,72.02,77.72,53.0,21.76,0.848,0.827,2.31,33.8,70.11,51.99
10015,AFG,Afghanistan,South Asia,Lower middle income,1994,Tertiary,0.79,76.65,72.02,77.72,53.0,21.76,0.848,0.827,2.31,33.8,70.11,51.99
10016,AFG,Afghanistan,South Asia,Lower middle income,1995,Primary,5.21,75.32,69.99,78.96,56.02,27.15,0.861,0.835,1.93,31.5,70.48,51.97
10017,AFG,Afghanistan,South Asia,Lower middle income,1995,Secondary,5.21,75.32,69.99,78.96,56.02,27.15,0.861,0.835,1.93,31.5,70.48,51.97
10018,AFG,Afghanistan,South Asia,Lower middle income,1995,Tertiary,5.21,75.32,69.99,78.96,56.02,27.15,0.861,0.835,1.93,31.5,70.48,51.97
10019,AFG,Afghanistan,South Asia,Lower middle income,1996,Primary,6.07,76.91,72.58,76.69,52.12,25.39,0.852,0.839,2.32,34.1,69.39,51.3
10020,AFG,Afghanistan,South Asia,Lower middle income,1996,Secondary,6.07,76.91,72.58,76.69,52.12,25.39,0.852,0.839,2.32,34.1,69.39,51.3
10021,AFG,Afghanistan,South Asia,Lower middle income,1996,Tertiary,6.07,76.91,72.58,76.69,52.12,25.39,0.852,0.839,2.32,34.1,69.39,51.3
10022,AFG,Afghanistan,South Asia,Lower middle income,1997,Primary,7.68,76.61,71.99,74.78,61.22,27.12,0.884,0.807,1.99,31.2,65.9,52.44
10023,AFG,Afghanistan,South Asia,Lower middle income,1997,Secondary,7.68,76.61,71.99,74.78,61.22,27.12,0.884,0.807,1.99,31.2,65.9,52.44
10024,AFG,Afghanistan,South Asia,Lower middle income,1997,Tertiary,7.68,76.61,71.99,74.78,61.22,27.12,0.884,0.807,1.99,31.2,65.9,52.44
10025,AFG,Afghanistan,South Asia,Lower middle income,1998,Primary,6.49,75.12,68.88,78.75,61.19,28.16,0.899,0.877,2.12,,70.59,55.03
10026,AFG,Afghanistan,South Asia,Lower middle income,1998,Secondary,6.49,75.12,68.88,78.75,61.19,28.16,0.899,0.877,2.12,32.6,70.59,55.03
10027,AFG,Afghanistan,South Asia,Lower middle income,1998,Tertiary,6.49,75.12,68.88,78.75,61.19,28.16,0.899,0.877,2.12,32.6,70.59,55.03
10028,AFG,Afghanistan,South Asia,Lower middle income,1999,Primary,5.47,77.89,72.83,82.09,55.19,23.34,0.869,0.852,2.19,27.9,72.06,53.3
10029,AFG,Afghanistan,South Asia,Lower middle income,1999,Secondary,5.47,77.89,72.83,82.09,55.19,23.34,0.869,0.852,2.19,27.9,72.06,53.3
10030,AFG,Afghanistan,South Asia,Lower middle income,1999,Tertiary,5.47,77.89,72.83,82.09,55.19,23.34,0.869,0.852,2.19,27.9,72.06,53.3
10031,AFG,Afghanistan,South Asia,Lower middle income,2000,Primary,0.7,75.37,71.16,80.16,57.72,26.57,0.871,0.826,2.01,29.1,74.47,53.86
10032,AFG,Afghanistan,South Asia,Lower middle income,2000,Secondary,0.7,75.37,71.16,80.16,57.72,26.57,0.871,0.826,2.01,29.1,74.47,53.86
10033,AFG,Afghanistan,South Asia,Lower middle income,2000,Tertiary,0.7,75.37,71.16,80.16,57.72,26.57,0.871,0.826,2.01,29.1,74.47,53.86
10034,AFG,Afghanistan,South Asia,Lower middle income,2001,Primary,4.13,75.38,70.84,78.91,53.7,24.9,0.895,0.883,2.12,31.6,70.07,51.11
10035,AFG,Afghanistan,South Asia,Lower middle income,2001,Secondary,4.13,75.38,70.84,78.91,53.7,24.9,0.895,0.883,2.12,31.6,70.07,51.11
10036,AFG,Afghanistan,South Asia,Lower middle income,2001,Tertiary,4.13,75.38,70.84,78.91,53.7,24.9,0.895,0.883,2.12,31.6,70.07,51.11
10037,AFG,Afghanistan,South Asia,Lower middle income,2002,Primary,2.27,78.15,71.8,81.54,59.84,34.38,0.878,0.835,2.74,31.5,69.68,53.92
10038,AFG,Afghanistan,South Asia,Lower middle income,2002,Secondary,2.27,78.15,71.8,81.54,59.84,34.38,0.878,0.835,2.74,31.5,69.68,53.92
10039,AFG,Afghanistan,South Asia,Lower middle income,2002,Tertiary,2.27,78.15,71.8,81.54,59.84,34.38,0.878,0.835,2.74,31.5,69.68,53.92
10040,AFG,Afghanistan,South Asia,Lower middle income,2003,Primary,18.1,75.75,71.14,78.91,58.11,30.58,0.867,0.861,2.19,30.2,67.63,52.59
10041,AFG,Afghanistan,South Asia,Lower middle income,2003,Secondary,18.1,75.75,71.14,78.91,58.11,30.58,0.867,0.861,2.19,30.2,67.63,52.59
10042,AFG,Afghanistan,South Asia,Lower middle income,2003,Tertiary,18.1,75.75,71.14,78.91,58.11,30.58,0.867,0.861,2.19,30.2,67.63,52.59
10043,AFG,Afghanistan,South Asia,Lower middle income,2004,Primary,4.5,76.87,72.48,76.8,56.6,31.07,0.885,0.84,2.43,27.9,67.45,51.27
10044,AFG,Afghanistan,South Asia,Lower middle income,2004,Secondary,4.5,76.87,72.48,76.8,56.6,31.07,0.885,0.84,2.43,27.9,67.45,51.27
10045,AFG,Afghanistan,South Asia,Lower middle income,2004,Tertiary,4.5,76.87,72.48,76.8,56.6,31.07,0.885,0.84,2.43,27.9,67.45,51.27
10046,AFG,Afghanistan,South Asia,Lower middle income,2005,Primary,5.02,79.16,73.01,75.78,59.08,33.16,0.881,0.868,1.99,30.4,66.38,52.94
10047,AFG,Afghanistan,South Asia,Lower middle income,2005,Secondary,5.02,79.16,73.01,75.78,59.08,33.16,0.881,0.868,1.99,30.4,66.38,52.94
10048,AFG,Afghanistan,South Asia,Lower middle income,2005,Tertiary,5.02,79.16,73.01,75.78,59.08,33.16,0.881,0.868,1.99,30.4,66.38,52.94
10049,AFG,Afghanistan,South Asia,Lower middle income,2006,Primary,3.22,78.7,72.74,80.22,56.38,28.9,0.858,0.856,2.21,32.7,71.25,53.4
10050,AFG,Afghanistan,South Asia,Lower middle income,2006,Secondary,3.22,78.7,72.74,80.22,56.38,28.9,0.858,0.856,2.21,32.7,71.25,53.4
10051,AFG,Afghanistan,South Asia,Lower middle income,2006,Tertiary,3.22,78.7,72.74,80.22,56.38,28.9,0.858,0.856,2.21,32.7,71.25,53.4
10052,AFG,Afghanistan,South Asia,Lower middle income,2007,Primary,8.04,80.4,73.58,81.72,62.51,31.04,0.876,0.883,1.9,30.2,70.96,54.79
10053,AFG,Afghanistan,South Asia,Lower middle income,2007,Secondary,8.04,80.4,73.58,81.72,62.51,31.04,0.876,0.883,1.9,30.2,70.96,54.79
10054,AFG,Afghanistan,South Asia,Lower middle income,2007,Tertiary,8.04,80.4,73.58,81.72,62.51,31.04,0.876,0.883,1.9,30.2,70.96,54.79
10055,AFG,Afghanistan,South Asia,Lower middle income,2008,Primary,1.73,79.74,74.04,84.38,63.32,38.54,0.879,0.844,1.58,32.2,75.56,56.1
10056,AFG,Afghanistan,South Asia,Lower middle income,2008,Secondary,1.73,79.74,74.04,84.38,63.32,38.54,0.879,0.844,1.58,32.2,75.56,56.1
10057,AFG,Afghanistan,South Asia,Lower middle income,2008,Tertiary,1.73,79.74,74.04,84.38,63.32,38.54,0.879,0.844,1.58,32.2,75.56,56.1
10058,AFG,Afghanistan,South Asia,Lower middle income,2009,Primary,5.42,77.7,72.33,85.75,66.06,38.18,0.885,0.852,2.16,,77.65,56.42
10059,AFG,Afghanistan,South Asia,Lower middle income,2009,Secondary,5.42,77.7,72.33,85.75,66.06,38.18,0.885,0.852,2.16,29.9,77.65,56.42
10060,AFG,Afghanistan,South Asia,Lower middle income,2009,Tertiary,5.42,77.7,72.33,85.75,66.06,38.18,0.885,0.852,2.16,29.9,77.65,56.42
10061,AFG,Afghanistan,South Asia,Lower middle income,2010,Primary,5.34,78.07,73.34,85.64,62.45,29.39,0.891,0.869,1.26,29.7,74.9,56.01
10062,AFG,Afghanistan,South Asia,Lower middle income,2010,Secondary,5.34,78.07,73.34,85.64,62.45,29.39,0.891,0.869,1.26,29.7,74.9,56.01
10063,AFG,Afghanistan,South Asia,Lower middle income,2010,Tertiary,5.34,78.07,73.34,85.64,62.45,29.39,0.891,0.869,1.26,29.7,74.9,56.01
10064,AFG,Afghanistan,South Asia,Lower middle income,2011,Primary,5.21,81.86,76.81,82.64,63.44,34.99,0.895,0.865,2.01,29.6,71.64,57.39
10065,AFG,Afghanistan,South Asia,Lower middle income,2011,Secondary,5.21,81.86,76.81,82.64,63.44,34.99,0.895,0.865,2.01,29.6,71.64,57.39
10066,AFG,Afghanistan,South Asia,Lower middle income,2011,Tertiary,5.21,81.86,76.81,82.64,63.44,34.99,0.895,0.865,2.01,29.6,71.64,57.39
10067,AFG,Afghanistan,South Asia,Lower middle income,2012,Primary,1.62,74.87,70.76,86.43,66.25,38.7,0.91,0.857,2.02,30.3,73.62,56.09
10068,AFG,Afghanistan,South Asia,Lower middle income,2012,Secondary,1.62,74.87,70.76,86.43,66.25,38.7,0.91,0.857,2.02,30.3,73.62,56.09
10069,AFG,Afghanistan,South Asia,Lower middle income,2012,Tertiary,1.62,74.87,70.76,86.43,66.25,38.7,0.91,0.857,2.02,30.3,73.62,56.09
